match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3773386,2020-10-31,21:00:00.000,Spain - La Liga,2020/2021,Deportivo Alavés,Barcelona,1,1,available,available,2023-07-25T03:54:59.280826,2023-07-25T04:25:41.348202,8,Regular Season,Estadio de Mendizorroza,,Pablo Javier Machín Díez,Ronald Koeman,1.1.0,2,2
3773565,2021-01-09,18:30:00.000,Spain - La Liga,2020/2021,Granada,Barcelona,0,4,available,available,2023-07-25T03:51:37.437064,2023-07-25T04:30:16.058384,18,Regular Season,Estadio Nuevo Los Cármenes,Ricardo De Burgos Bengoetxea,Diego Martínez Penas,Ronald Koeman,1.1.0,2,2
3773457,2021-05-16,18:30:00.000,Spain - La Liga,2020/2021,Barcelona,Celta Vigo,1,2,available,available,2022-12-02T09:26:39.496362,2023-04-27T23:03:53.506485,37,Regular Season,Spotify Camp Nou,,Ronald Koeman,Eduardo Germán Coudet,1.1.0,2,2
3773631,2021-02-07,21:00:00.000,Spain - La Liga,2020/2021,Real Betis,Barcelona,2,3,available,available,2023-07-25T03:47:44.278651,2023-07-25T03:56:34.733180,22,Regular Season,Estadio Benito Villamarín,,Manuel Luis Pellegrini Ripamonti,Ronald Koeman,1.1.0,2,2
3773665,2021-03-06,21:00:00.000,Spain - La Liga,2020/2021,Osasuna,Barcelona,0,2,available,available,2022-12-02T08:46:42.897589,2023-04-28T02:57:03.412841,26,Regular Season,Estadio El Sadar,Guillermo Cuadra Fernández,Jagoba Arrasate Elustondo,Ronald Koeman,1.1.0,2,2
3773497,2021-04-10,21:00:00.000,Spain - La Liga,2020/2021,Real Madrid,Barcelona,2,1,available,available,2022-12-02T09:04:21.859831,2023-04-28T01:35:16.051381,30,Regular Season,Estadio Alfredo Di Stéfano,Jesús Gil Manzano,Zinédine Zidane,Ronald Koeman,1.1.0,2,2
3773660,2020-12-13,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Levante UD,1,0,available,available,2022-12-01T14:49:02.748131,2023-04-28T06:01:10.173360,13,Regular Season,Spotify Camp Nou,Ricardo De Burgos Bengoetxea,Ronald Koeman,Francisco José López Fernández,1.1.0,2,2
3773593,2020-09-27,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Villarreal,4,0,available,available,2023-07-25T04:01:57.790373,2023-07-25T04:44:03.367478,3,Regular Season,Spotify Camp Nou,Guillermo Cuadra Fernández,Ronald Koeman,Unai Emery Etxegoien,1.1.0,2,2
3773466,2020-10-01,21:30:00.000,Spain - La Liga,2020/2021,Celta Vigo,Barcelona,0,3,available,available,2023-07-25T03:55:25.794505,2023-07-25T04:40:53.635540,4,Regular Season,Abanca-Balaídos,Carlos del Cerro Grande,Óscar García Junyent,Ronald Koeman,1.1.0,2,2
3773585,2020-10-24,16:00:00.000,Spain - La Liga,2020/2021,Barcelona,Real Madrid,1,3,available,available,2023-07-25T03:53:35.185506,2023-07-25T04:29:21.140321,7,Regular Season,Spotify Camp Nou,Juan Martínez Munuera,Ronald Koeman,Zinédine Zidane,1.1.0,2,2
3773552,2021-01-03,21:00:00.000,Spain - La Liga,2020/2021,Huesca,Barcelona,0,1,available,available,2021-05-09T12:03:31.185940,2022-08-04T12:00,17,Regular Season,Estadio El Alcoraz,Guillermo Cuadra Fernández,Miguel Ángel Sánchez Muñoz,Ronald Koeman,1.1.0,2,2
3773672,2020-10-04,21:00:00.000,Spain - La Liga,2020/2021,Barcelona,Sevilla,1,1,available,available,2023-07-25T03:58:44.264327,2023-07-25T04:37:23.452819,5,Regular Season,Spotify Camp Nou,Jesús Gil Manzano,Ronald Koeman,Julen Lopetegui Argote,1.1.0,2,2
3773587,2020-10-17,21:00:00.000,Spain - La Liga,2020/2021,Getafe,Barcelona,1,0,available,available,2023-07-25T04:01:45.160583,2023-07-25T04:34:28.413719,6,Regular Season,Coliseum Alfonso Pérez,César Soto Grado,José Bordalás Jiménez,Ronald Koeman,1.1.0,2,2
3773656,2020-11-21,21:00:00.000,Spain - La Liga,2020/2021,Atlético Madrid,Barcelona,1,0,available,available,2020-11-24T06:29:13.401420,2022-08-04T12:00,10,Regular Season,	Estádio Cívitas Metropolitano,,Diego Pablo Simeone,Ronald Koeman,1.1.0,2,2
